names,mismatch,reason
Nate Renfro,,never played in nba game
Nate Sestina,,never played in nba game
Nene Hilario,Nene Nene,
Nicholas King,,never played in nba game
Nick Minnerath,,never played in nba game
Nick Ongenda,,never played in nba game
Nick Smith,,never played in nba game
Nick Wiggins,,never played in nba game
Nick Zeisloft,,never played in nba game
Nicolas Claxton,Nic Claxton,
Nikola Jovanovic,,never played in nba game
Nnanna Egwu,,never played in nba game
Noah Clowney,,never played in nba game
Nuni Omot,,never played in nba game
Olek Czyz,,never played in nba game
Oleksandr Kobets,,never played in nba game
Olivier Hanlan,,never played in nba game
Olivier-Maxence Prosper,,never played in nba game
Orlando Sanchez,,never played in nba game
Oscar Bellfield,,never played in nba game
Patric Young,,never played in nba game
Paul Eboua,,never played in nba game
Perry Ellis,,never played in nba game
Pete Nance,,never played in nba game
Peter Jok,,G-league
Phil Carr,,never played in nba game
Phil Jones,,never played in nba game
Prince Ibeh,,"never played in nba game, only G-league"
Quincy Ford,,never played in nba game
Quinton Rose,,never played in nba game
Rade Zagorac,,never played in nba game
Raef Lafrentz,Raef LaFrentz,
Rashawn Thomas,,never played in nba game
Rasheed Sulaimon,,never played in nba game
Rayan Rupert,,never played in nba game
Rayshaun Hammonds,,never played in nba game
Reeves Nelson,,never played in nba game
Reginald Becton,,never played in nba game
Reginald Kissoonlal,,never played in nba game
Remi Yusuf,,never played in nba game
Richard Howell,,never played in nba game
Richard McConnell,,never played in nba game
Richard Solomon,,never played in nba game
Rick Jackson,,never played in nba game
Rob Gray,,never played in nba game
Robert Dozier,,never played in nba game
Robert Johnson,,never played in nba game
Robert Upshaw,,never played in nba game
Robert Vaden,,never played in nba game
Rodney Williams,,never played in nba game
Romaro Gill,,never played in nba game
Romeo Weems,,never played in nba game
Romero Osby,,never played in nba game
Ron Howard,,never played in nba game
Ronald Roberts,,never played in nba game
Ronnie Aguilar,,never played in nba game
Ronshad Shabazz,,never played in nba game
Roscoe Smith,,never played in nba game
Roy Marble,,before 1996-1997
Ryan Allen,,never played in nba game
Ryan Boatright,,never played in nba game
Ryan Richards,,never played in nba game
Sacha Killeya-Jones,,never played in nba game
Sagaba Konate,,never played in nba game
Sam Thompson,,never played in nba game
Sampson Carter,,never played in nba game
Sasha Vezenkov,,never played in nba game
Scoot Henderson,,never played in nba game
Scott Wood,,never played in nba game
Scottie Lindsey,,never played in nba game
Scottie Wilbekin,,never played in nba game
Sedrick Barefield,,never played in nba game
Sergey Gladyr,,never played in nba game
Seth Tarver,,never played in nba game
Shannon Scott,,never played in nba game
Shawn Dawson,,never played in nba game
Shawn Jones,,never played in nba game
Sheldon McClellan,Sheldon Mac,
Shizz Alston,,never played in nba game
Sidy Cissoko,,never played in nba game
Simisola Shittu,,never played in nba game
Sir'Dominic Pointer,,never played in nba game
Stanley Robinson,,G-league
Stefan Jankovic,,G-league
Stefhon Hannah,,Did not play in nba 
Stephen Dennis,,Did not play in nba 
Stephen Holt,,Did not play in nba 
Steven Gray,,Did not play in nba 
Sun Yue,Sun Sun,
Sviatoslav Mykhailiuk,Svi Mykhailiuk,
TJ Williams,,Did not play in nba 
Talib Zanna,,Did not play in nba 
Taylor Funk,,Did not play in nba 
Taylor Hendricks,,Did not play in nba 
Terran Petteway,,Did not play in nba 
Terrico White,,Did not play in nba 
Terry Henderson,,Did not play in nba 
Terry Larrier,,Did not play in nba 
Thomas Walkup,,Did not play in nba 
Tidjan Keita,,Did not play in nba 
Tiwian Kendley,,Did not play in nba 
Tomislav Zubcic,,Did not play in nba 
Tony Carr,,Did not play in nba 
